                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2413,                 3.3475,                 1.2568,                0.50504,                0.51105,                  0.521,                0.40699,                0.91383,                 1.6217,                 1.1025,               0.070337,              0.0032959,              0.0032959
                      1,                 0.9666,                 1.3144,                 1.0906,                0.84637,                0.81165,                0.89014,                0.64638,                  1.011,                0.78155,                 1.1182,               0.040271,              0.0065636,              0.0065636
                      2,                0.97628,                 1.0233,                 1.0719,                 0.8633,                0.79802,                0.88095,                0.66323,                0.96407,                0.81672,                 1.1112,                0.01014,              0.0097653,              0.0097653
                      3,                0.97438,                0.92392,                 1.0764,                0.88883,                0.87579,                0.92852,                 0.6976,                 0.9624,                0.67291,                 1.0997,               0.009703,               0.009703,               0.009703
                      4,                0.94765,                0.83656,                 1.0645,                0.93473,                 0.8734,                0.93973,                0.70811,                0.93784,                 0.6385,                 1.0666,               0.009703,               0.009703,               0.009703
                      5,                 0.9392,                0.79539,                 1.0618,                0.92763,                0.89527,                0.95204,                0.74695,                 0.8427,                0.53986,                 1.0297,               0.009604,               0.009604,               0.009604
                      6,                0.91075,                0.74464,                 1.0427,                0.92212,                 0.8927,                0.95568,                 0.7402,                0.87544,                0.52981,                 1.0421,               0.009505,               0.009505,               0.009505
                      7,                0.90666,                0.72352,                 1.0421,                0.95042,                0.90798,                0.96121,                0.75676,                0.83919,                0.48947,                 1.0277,               0.009406,               0.009406,               0.009406
                      8,                0.90293,                0.69205,                 1.0376,                0.93251,                0.92656,                0.96079,                0.74457,                0.87754,                0.48733,                 1.0386,               0.009307,               0.009307,               0.009307
                      9,                0.88601,                0.67369,                 1.0299,                0.95225,                0.90662,                0.95606,                0.74746,                0.86802,                0.48573,                 1.0331,               0.009208,               0.009208,               0.009208
                     10,                0.86883,                0.64962,                 1.0196,                0.94769,                0.90831,                0.95592,                0.74207,                0.87379,                 0.4919,                 1.0411,               0.009109,               0.009109,               0.009109
                     11,                0.87388,                0.65264,                 1.0265,                0.93755,                0.93734,                0.96819,                0.76489,                0.83569,                0.46005,                 1.0145,                0.00901,                0.00901,                0.00901
                     12,                0.84815,                0.62199,                 1.0148,                0.95019,                0.91877,                0.96546,                0.77201,                0.81087,                0.44407,                 1.0093,               0.008911,               0.008911,               0.008911
                     13,                0.84732,                0.61276,                 1.0148,                 0.9551,                0.93307,                0.96977,                 0.7742,                0.82547,                0.42932,                 1.0119,               0.008812,               0.008812,               0.008812
                     14,                0.85436,                0.60475,                 1.0175,                0.95597,                0.93555,                0.96947,                0.77598,                0.80284,                 0.4283,                 1.0036,               0.008713,               0.008713,               0.008713
                     15,                0.84164,                0.59329,                 1.0103,                0.95326,                0.93721,                0.96842,                0.77397,                0.81401,                0.42918,                 1.0087,               0.008614,               0.008614,               0.008614
